Id,Type,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,aux_date_col
219,1,Paraguay,162,157,153,148,142,136,129,123,117,112,107,102,98,95,92,89,86,84,22-07-2021
220,1,Peru,144,138,132,127,122,118,114,112,108,106,104,102,100,98,96,94,91,88,23-07-2021
221,1,Philippines,160,163,160,156,156,156,156,149,148,149,144,141,139,136,131,127,124,121,24-07-2021
223,1,Poland,7,6,5,5,5,4,4,4,4,3,3,3,3,3,2,2,2,2,25-07-2021
224,1,Portugal,10,10,10,10,10,9,9,9,9,9,9,9,9,8,8,9,9,8,26-07-2021
225,1,Puerto Rico,26,26,24,23,25,23,23,23,23,23,21,22,19,20,21,20,20,21,27-07-2021
227,1,Qatar,14,14,13,13,13,12,11,11,11,10,10,10,10,10,10,9,9,9,28-07-2021
228,1,Republic of Korea,17,15,15,16,15,15,14,15,15,16,15,14,13,13,12,12,11,11,29-07-2021
229,1,Republic of Moldova,44,39,38,36,32,34,31,31,29,28,29,21,22,21,23,22,20,19,30-07-2021
231,1,Romania,54,49,47,43,39,35,32,30,28,28,27,24,23,21,21,21,21,19,31-07-2021
232,1,Russian Federation,56,53,51,49,45,42,36,32,30,27,25,23,22,20,19,18,18,17,01-08-2021
233,1,Rwanda,1160,1100,961,870,758,643,541,469,427,424,373,349,329,308,291,275,260,248,02-08-2021
236,1,Saint Lucia,86,86,90,92,89,83,82,87,93,100,109,116,116,108,104,115,117,117,03-08-2021
238,1,Saint Vincent and the Grenadines,80,75,72,69,64,59,62,67,70,67,63,64,71,73,69,64,67,68,04-08-2021
241,1,Samoa,88,85,84,80,74,72,66,62,60,58,58,54,52,48,47,45,44,43,05-08-2021
243,1,Sao Tome and Principe,179,173,169,167,166,163,158,154,150,145,140,137,134,132,131,130,130,130,06-08-2021
244,1,Saudi Arabia,24,24,23,23,22,22,21,21,20,20,19,18,18,17,17,17,17,17,07-08-2021
245,1,Senegal,553,545,537,532,526,519,514,504,492,472,447,423,400,381,364,346,330,315,08-08-2021
246,1,Serbia,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,13,12,12,09-08-2021
248,1,Seychelles,53,54,54,54,55,55,55,55,55,55,55,55,55,55,55,54,54,53,10-08-2021
249,1,Sierra Leone,2480,2250,2080,1960,1850,1760,1680,1610,1530,1450,1360,1270,1210,1180,1190,1180,1120,1120,11-08-2021
250,1,Singapore,13,13,14,13,14,13,13,12,11,10,10,10,10,9,8,9,8,8,12-08-2021
252,1,Slovakia,8,8,7,7,7,7,6,7,6,6,6,6,6,6,5,6,6,5,13-08-2021
253,1,Slovenia,12,10,11,10,11,10,8,8,8,8,8,8,7,7,7,7,7,7,14-08-2021
254,1,Solomon Islands,245,233,222,210,199,188,177,172,159,152,141,134,127,122,120,112,108,104,15-08-2021
255,1,Somalia,1210,1170,1140,1100,1080,1040,1040,1030,1010,994,985,955,943,893,878,855,865,829,16-08-2021
256,1,South Africa,160,168,177,186,195,201,201,199,191,179,171,161,143,133,128,125,122,119,17-08-2021
258,1,South Sudan,1730,1690,1660,1610,1550,1480,1410,1330,1250,1170,1100,1070,1050,1090,1140,1110,1130,1150,18-08-2021
259,1,Spain,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,19-08-2021
260,1,Sri Lanka,56,53,50,50,48,45,47,43,42,41,38,38,37,37,36,36,36,36,20-08-2021
261,1,West Bank and Gaza Strip,70,69,70,66,64,59,58,56,53,50,45,42,40,36,37,32,29,27,21-08-2021
262,1,Sudan,667,645,614,598,580,529,508,479,454,433,408,390,368,349,333,320,308,295,22-08-2021
263,1,Suriname,221,218,207,189,176,164,165,167,169,159,148,139,134,129,124,122,121,120,23-08-2021
265,1,Eswatini,521,528,534,538,539,532,518,496,474,460,450,441,435,432,434,435,436,437,24-08-2021
266,1,Sweden,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,4,4,25-08-2021
267,1,Switzerland,7,7,7,7,7,7,7,6,6,6,6,6,6,6,5,5,5,5,26-08-2021
268,1,Syrian Arab Republic,26,26,26,25,26,25,26,26,26,26,27,28,28,29,30,30,30,31,27-08-2021
270,1,Tajikistan,53,52,43,35,33,32,29,27,26,26,23,22,21,20,19,18,17,17,28-08-2021
271,1,Thailand,43,43,44,44,46,43,42,42,43,43,42,41,39,39,38,38,37,37,29-08-2021
272,1,Republic of North Macedonia,13,12,12,10,11,10,10,10,8,8,8,8,8,8,8,8,8,7,30-08-2021
273,1,Timor-Leste,745,720,668,603,507,415,348,300,269,242,219,198,185,176,168,160,152,142,31-08-2021
274,1,Togo,489,489,489,489,488,492,482,480,473,458,440,422,410,404,401,398,395,396,01-09-2021
276,1,Tonga,77,73,71,69,67,66,64,62,60,61,57,56,56,56,55,54,53,52,02-09-2021
277,1,Trinidad and Tobago,81,78,74,75,76,76,73,65,72,74,71,72,71,70,69,68,68,67,03-09-2021
278,1,Tunisia,66,63,60,57,54,51,49,47,47,46,46,46,46,46,46,46,45,43,04-09-2021
279,1,Turkey,42,41,39,38,35,33,30,28,27,25,24,23,22,20,19,19,18,17,05-09-2021
280,1,Turkmenistan,29,27,25,21,20,18,18,15,13,12,10,10,9,9,8,8,8,7,06-09-2021
284,1,Uganda,578,550,537,520,512,491,473,465,455,442,430,419,412,401,394,387,381,375,07-09-2021
285,1,Ukraine,35,33,33,32,33,33,31,33,33,27,25,23,24,23,24,21,20,19,08-09-2021
286,1,United Arab Emirates,6,6,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,09-09-2021
287,1,United Kingdom of Great Britain and Northern Ireland,10,11,11,11,11,11,11,11,11,10,10,9,8,8,8,8,7,7,10-09-2021
288,1,United Republic of Tanzania,854,819,788,763,741,721,703,685,666,656,644,628,615,593,574,556,539,524,11-09-2021
289,1,United States of America,12,13,13,13,13,13,14,14,14,15,15,15,16,16,16,18,19,19,12-09-2021
291,1,Uruguay,26,25,25,23,23,22,20,20,19,19,17,17,17,18,17,18,18,17,13-09-2021
292,1,Uzbekistan,41,41,41,39,37,38,37,35,34,32,31,32,32,31,30,30,29,29,14-09-2021
293,1,Vanuatu,140,135,128,123,119,113,108,103,99,96,92,88,85,82,80,76,74,72,15-09-2021
294,1,Venezuela (Bolivarian Republic of),119,123,135,127,119,113,114,114,116,119,117,116,116,115,113,115,121,125,16-09-2021
295,1,Viet Nam,68,65,62,59,57,54,51,49,49,48,47,47,46,46,45,45,44,43,17-09-2021
298,1,Yemen,301,290,278,266,254,242,230,219,208,200,192,187,184,175,174,169,165,164,18-09-2021
299,1,Zambia,528,491,465,453,437,421,406,387,356,329,305,283,267,254,242,232,222,213,19-09-2021
300,1,Zimbabwe,579,629,666,680,686,685,680,671,657,632,598,557,528,509,494,480,468,458,20-09-2021
